title,region,region_name,region_parent_name,price,is_boost,property_size,bedrooms,bathrooms,furnishing
6bdrm Duplex in Asokoro Diplomatic for sale,"Abuja (FCT), Asokoro",Asokoro,Abuja (FCT),1170000000.0,enterprise,800.0,6.0,7.0,Semi-Furnished
"Furnished 5bdrm Duplex in Citiscape Estate, Guzape District for sale","Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),950000000.0,enterprise,800.0,5.0,5.0,Furnished
4bdrm Duplex in Gra Port Harcourt for sale,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,270000000.0,enterprise,362.0,4.0,4.0,Semi-Furnished
"4bdrm Duplex in Mercyland Extension, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,120000000.0,enterprise,465.0,4.0,4.0,Semi-Furnished
"3bdrm Duplex in Harmony Estate By, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,70000000.0,enterprise,465.0,3.0,3.0,Semi-Furnished
"2bdrm Duplex in Iwofe Rd Off Ada, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,160000000.0,enterprise,560.0,2.0,2.0,Semi-Furnished
"Furnished 4bdrm Duplex in Sunrise Estate, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,180000000.0,enterprise,650.0,4.0,4.0,Furnished
"3bdrm Block of Flats in Agip Estate, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,160000000.0,enterprise,498.0,3.0,3.0,Semi-Furnished
"Furnished 4bdrm Duplex in Gra, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,400000000.0,enterprise,750.0,4.0,4.0,Furnished
"4bdrm Bungalow in Emitary Egbelu Off, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,65000000.0,enterprise,465.0,4.0,4.0,Semi-Furnished
"Furnished 5bdrm Duplex in Eliozu Estate, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,250000000.0,enterprise,460.0,5.0,5.0,Furnished
"2bdrm Block of Flats in St. John Iwofe Rd, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,25000000.0,enterprise,450.0,2.0,2.0,Semi-Furnished
"5bdrm Duplex in Woji, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,270000000.0,enterprise,469.0,5.0,5.0,Semi-Furnished
"4bdrm Duplex in In An Estate, Around, Lugbe District for sale","Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),155000000.0,enterprise,500.0,4.0,5.0,Unfurnished
8bdrm Mansion in Asokoro Main for sale,"Abuja (FCT), Asokoro",Asokoro,Abuja (FCT),4700000000.0,enterprise,1500.0,8.0,9.0,Semi-Furnished
4bdrm Duplex in Asokoro Abuja for sale,"Abuja (FCT), Asokoro",Asokoro,Abuja (FCT),450000000.0,enterprise,2000.0,4.0,5.0,Semi-Furnished
5bdrm Duplex in Guzape/Asokoro Abuja for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),1500000000.0,enterprise,800.0,5.0,6.0,Semi-Furnished
5bdrm Duplex in Apo Resettlement for sale,"Apo District, Apo Resettlement",Apo Resettlement,Apo District,500000000.0,enterprise,700.0,5.0,7.0,Semi-Furnished
6bdrm Mansion in Maitama Main By for sale,"Abuja (FCT), Maitama",Maitama,Abuja (FCT),3500000000.0,enterprise,1500.0,6.0,7.0,Semi-Furnished
4bdrm Duplex in Reef Court Estate for sale,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,400000000.0,enterprise,530.0,4.0,5.0,Semi-Furnished
"3bdrm Bungalow in Nta Rd Off Mgbuoba, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,100000000.0,enterprise,325.0,3.0,3.0,Semi-Furnished
"2bdrm Block of Flats in Wohuruchi Estste Off, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,450000000.0,enterprise,1395.0,2.0,2.0,Semi-Furnished
"3bdrm Block of Flats in Malaysia Estate, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,50000000.0,enterprise,460.0,3.0,4.0,Semi-Furnished
"Furnished 1bdrm Block of Flats in Akar Rd Off, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,95000000.0,enterprise,980.0,1.0,2.0,Furnished
